latitude,longitude,time,date,xco2,xco2_quality_flag,rice_proportion_in_buffer,is_rice_influenced,precipitation,temperature_2m,skin_temperature,soil_temperature_L1,soil_water_L1,surface_solar_radiation,total_precipitation,lai_low_veg,wind_u_10m,wind_v_10m,dewpoint_temp_2m,surface_pressure,FPAR,LAI,GMT_0000_PAR,GMT_0300_PAR,GMT_0600_PAR,GMT_0900_PAR,AOD_047um,AOD_055um,NDVI,EVI,LSWI,NDWI_McFeeters,ET,LE,PET,PLE,LST_Day_Terra_C,LST_Night_Terra_C,LST_Day_Aqua_C,LST_Night_Aqua_C,sm_surface_daily
10.074066,106.75515,2019-12-31 06:14:30.562005,2019-12-31,413.31134,0,1.0,True,0.0,,,,,,,,,,,,0.4,0.8,,,,,0.079,0.057,0.508557,0.275215,0.235979,-0.517869,,,,,28.469999,,31.83,24.790001,0.176647
10.092503,106.75069,2019-12-31 06:14:30.895015,2019-12-31,412.80692,0,1.0,True,0.0,,,,,,,,,,,,,,,,,,0.095,0.068,0.26618,0.11051,0.265604,-0.319715,,,,,28.17,,31.49,25.57,0.176647
10.082081,106.75655,2019-12-31 06:14:30.921005,2019-12-31,413.762,0,1.0,True,0.0,,,,,,,,,,,,,,,,,,0.091,0.065,0.569221,0.310137,0.383188,-0.562029,,,,,28.129999,,31.65,24.65,0.176647
10.071538,106.76236,2019-12-31 06:14:30.948002,2019-12-31,412.67004,0,1.0,True,0.0,,,,,,,,,,,,,,,,,,0.069,0.05,0.476673,0.215913,0.315504,-0.486928,,,,,27.790001,,31.049999,25.23,0.176647
10.100508,106.75209,2019-12-31 06:14:31.255021,2019-12-31,413.61157,0,1.0,True,0.0,,,,,,,,,,,,,,,,,,0.063,0.045,0.236279,0.096799,0.254365,-0.280964,,,,,27.93,,31.030001,25.65,0.176647
10.089966,106.757904,2019-12-31 06:14:31.282017,2019-12-31,413.09924,0,1.0,True,0.0,,,,,,,,,,,,0.2,0.3,,,,,0.086,0.061,0.256607,0.109208,0.227311,-0.338175,,,,,27.83,,31.309999,24.709999,0.176647
10.079336,106.76363,2019-12-31 06:14:31.309014,2019-12-31,413.09937,0,1.0,True,0.0,,,,,,,,,,,,,,,,,,0.091,0.065,0.749094,0.414783,0.547335,-0.697125,,,,,28.129999,,31.65,24.65,0.176647
10.129389,106.74178,2019-12-31 06:14:31.562000,2019-12-31,411.56866,0,1.0,True,0.0,,,,,,,,,,,,0.43,0.9,228.019974,401.210144,283.970032,33.227543,0.063,0.045,0.637985,0.317209,0.509286,-0.609905,,,,,28.09,24.67,30.41,25.91,0.176647
10.097763,106.75918,2019-12-31 06:14:31.642023,2019-12-31,413.24268,0,1.0,True,0.0,,,,,,,,,,,,,,,,,,0.056,0.04,0.255601,0.104237,0.251595,-0.295894,,,,,27.950001,,31.610001,25.43,0.176647
10.14779,106.73722,2019-12-31 06:14:31.895009,2019-12-31,412.3042,0,1.0,True,0.0,,,,,,,,,,,,,,228.019974,401.210144,283.970032,33.227543,0.1,0.072,0.371322,0.151129,0.347407,-0.381647,,,,,27.59,24.290001,29.969999,25.450001,0.176647
10.084101,106.77122,2019-12-31 06:14:32.056022,2019-12-31,413.73907,0,1.0,True,0.0,,,,,,,,,,,,,,,,,,0.084,0.06,0.303399,0.1329,0.136064,-0.367679,,,,,28.27,,32.790001,25.01,0.176647
10.166223,106.73267,2019-12-31 06:14:32.228019,2019-12-31,412.81128,0,1.0,True,0.0,,,,,,,,,,,,0.32,0.6,227.612885,400.679291,281.315491,32.706436,0.113,0.081,0.498661,0.243953,0.236892,-0.490674,,,,,28.290001,24.23,31.049999,25.01,0.176647
10.1558,106.73854,2019-12-31 06:14:32.255015,2019-12-31,412.86227,0,1.0,True,0.0,,,,,,,,,,,,,,228.019974,401.210144,283.970032,33.227543,0.148,0.107,0.367871,0.147919,0.325656,-0.384319,,,,,30.01,24.809999,31.530001,28.17,0.176647
10.145267,106.74436,2019-12-31 06:14:32.282012,2019-12-31,413.47018,0,1.0,True,0.0,,,,,,,,,,,,,,228.019974,401.210144,283.970032,33.227543,0.117,0.084,0.371948,0.150915,0.365412,-0.363463,,,,,27.809999,24.809999,30.629999,25.969999,0.176647
10.102531,106.766685,2019-12-31 06:14:32.388992,2019-12-31,412.77603,0,1.0,True,0.0,,,,,,,,,,,,,,,,,,0.058,0.041,0.11506,0.04628,0.196378,-0.234629,,,,,28.290001,,32.650002,24.950001,0.176647
10.091673,106.77205,2019-12-31 06:14:32.415988,2019-12-31,413.2876,0,1.0,True,0.0,,,,,,,,,,,,0.17,0.3,,,,,0.122,0.087,0.287323,0.111107,0.27608,-0.333671,,,,,28.73,,33.950001,25.07,0.176647
10.184665,106.72813,2019-12-31 06:14:32.561994,2019-12-31,412.70654,0,1.0,True,0.0,,,,,,,,,,,,0.2,0.3,227.612885,400.679291,281.315491,32.706436,,,0.305958,0.139332,0.11708,-0.367622,10.5,5110000.0,31.0,15090000.0,30.209999,24.790001,33.029999,24.530001,0.176647
10.174232,106.73399,2019-12-31 06:14:32.588025,2019-12-31,412.43805,0,1.0,True,0.0,,,,,,,,,,,,0.29,0.5,227.612885,400.679291,281.315491,32.706436,0.133,0.095,0.353793,0.186613,0.122035,-0.401642,9.3,4550000.0,30.799999,15030000.0,29.209999,24.469999,32.669998,24.65,0.176647
10.163686,106.739815,2019-12-31 06:14:32.615021,2019-12-31,412.5858,0,1.0,True,0.0,,,,,,,,,,,,,,227.612885,400.679291,281.315491,32.706436,0.141,0.101,0.391501,0.163649,0.287327,-0.410632,,,,,29.83,24.610001,33.389999,27.190001,0.176647
10.153049,106.74555,2019-12-31 06:14:32.642018,2019-12-31,412.83032,0,1.0,True,0.0,,,,,,,,,,,,,,228.019974,401.210144,283.970032,33.227543,0.148,0.107,0.429119,0.173435,0.36318,-0.43738,,,,,30.01,24.809999,31.530001,28.17,0.176647
10.110068,106.76752,2019-12-31 06:14:32.748998,2019-12-31,412.54095,0,1.0,True,0.0,,,,,,,,,,,,,,,,,,0.063,0.045,0.154556,0.068427,0.216582,-0.267519,,,,,28.73,,32.189999,25.370001,0.176647
10.182038,106.73526,2019-12-31 06:14:32.947991,2019-12-31,412.22144,0,1.0,True,0.0,,,,,,,,,,,,0.29,0.6,227.612885,400.679291,281.315491,32.706436,0.1,0.072,0.353793,0.186613,0.122035,-0.401642,,,,,30.190001,24.33,32.27,24.549999,0.176647
10.171401,106.741005,2019-12-31 06:14:32.974987,2019-12-31,412.64725,0,1.0,True,0.0,,,,,,,,,,,,0.23,0.4,227.612885,400.679291,281.315491,32.706436,0.151,0.108,0.319473,0.164896,0.09143,-0.391304,9.5,4640000.0,31.0,15110000.0,29.370001,24.469999,33.169998,25.09,0.176647
10.160788,106.74662,2019-12-31 06:14:33.002024,2019-12-31,413.26712,0,1.0,True,0.0,,,,,,,,,,,,,,228.019974,401.210144,283.970032,33.227543,0.141,0.101,0.284553,0.103225,0.311566,-0.301483,,,,,29.83,24.610001,33.389999,27.190001,0.176647
10.168423,106.74762,2019-12-31 06:14:33.362996,2019-12-31,412.40463,0,1.0,True,0.0,,,,,,,,,,,,0.27,0.5,227.612885,400.679291,281.315491,32.706436,0.172,0.123,0.332682,0.131854,0.144775,-0.353846,9.5,4620000.0,31.200001,15220000.0,29.49,24.610001,34.169998,27.09,0.176647
10.157635,106.75308,2019-12-31 06:14:33.389027,2019-12-31,412.70798,0,1.0,True,0.0,,,,,,,,,,,,,,228.029037,401.099457,286.048035,34.031582,0.151,0.109,0.24433,0.09285,0.277249,-0.274551,,,,,30.99,24.83,33.849998,28.389999,0.176647
10.146769,106.75845,2019-12-31 06:14:33.416023,2019-12-31,413.3618,0,1.0,True,0.0,,,,,,,,,,,,,,228.029037,401.099457,286.048035,34.031582,0.117,0.084,0.172519,0.063866,0.206915,-0.217759,,,,,30.49,24.77,34.23,28.450001,0.176647
10.239726,106.71444,2019-12-31 06:14:33.561989,2019-12-31,413.06534,0,1.0,True,0.0,,,,,,,,,,,,0.58,1.3,227.623642,400.002472,274.632294,31.089018,0.122,0.088,0.586926,0.415654,0.136832,-0.580332,11.9,5820000.0,29.799999,14510000.0,30.469999,,33.77,23.33,0.235355
10.229295,106.72032,2019-12-31 06:14:33.588020,2019-12-31,412.57056,0,1.0,True,0.0,,,,,,,,,,,,0.23,0.4,227.623642,400.002472,274.632294,31.089018,0.084,0.06,0.310788,0.137308,0.089292,-0.360284,8.5,4150000.0,31.200001,15200000.0,29.690001,,33.650002,24.57,0.238384
10.218746,106.72615,2019-12-31 06:14:33.615016,2019-12-31,413.00903,0,1.0,True,0.0,,,,,,,,,,,,,,227.623642,400.002472,274.632294,31.089018,0.093,0.067,0.326629,0.143054,0.140602,-0.358102,,,,,29.57,,33.049999,24.83,0.238384
10.208112,106.7319,2019-12-31 06:14:33.642013,2019-12-31,412.3232,0,1.0,True,0.0,,,,,,,,,,,,,,227.612885,400.679291,281.315491,32.706436,0.072,0.051,,,,,,,,,27.950001,,30.870001,24.91,0.238384
10.186788,106.743065,2019-12-31 06:14:33.696005,2019-12-31,411.34378,0,1.0,True,0.0,,,,,,,,,,,,,,227.612885,400.679291,281.315491,32.706436,0.117,0.084,-0.322013,-0.097528,0.714724,0.183942,,,,,29.969999,24.33,30.889999,24.67,0.176647
10.176002,106.74852,2019-12-31 06:14:33.723002,2019-12-31,412.72632,0,1.0,True,0.0,,,,,,,,,,,,0.43,0.9,227.612885,400.679291,281.315491,32.706436,0.148,0.106,0.484145,0.265526,0.228023,-0.510815,10.3,5030000.0,30.4,14810000.0,29.629999,24.51,33.470001,25.41,0.176647
10.16514,106.75389,2019-12-31 06:14:33.748992,2019-12-31,412.32895,0,1.0,True,0.0,,,,,,,,,,,,0.4,0.8,227.842499,400.919067,284.744965,33.658524,0.172,0.123,0.389269,0.199527,0.085537,-0.418382,9.5,4640000.0,30.6,14940000.0,29.49,24.610001,34.169998,27.09,0.176647
10.258123,106.70982,2019-12-31 06:14:33.894999,2019-12-31,412.45224,0,1.0,True,0.0,,,,,,,,,,,,0.53,1.1,227.623642,400.002472,274.632294,31.089018,0.118,0.084,0.569032,0.391956,0.114972,-0.574315,10.1,4920000.0,29.200001,14240000.0,30.67,,34.009998,22.209999,0.235355
10.247697,106.715706,2019-12-31 06:14:33.920989,2019-12-31,412.66003,0,1.0,True,0.0,,,,,,,,,,,,0.53,1.2,227.623642,400.002472,274.632294,31.089018,0.125,0.09,0.569985,0.381455,0.135599,-0.563664,11.0,5370000.0,29.9,14580000.0,30.49,,34.209999,22.59,0.235355
